run_date,ticker,group,price,currency,chg_1d_pct,chg_1mo_pct,wk52_high,wk52_low,pct_below_52w_high,pct_above_52w_low
2026-07-28,NVDA,算力芯片,196.51,USD,-4.99,0.79,236.54,164.07,16.92,19.77
2026-07-28,AMD,算力芯片,494.95,USD,-5.17,-8.26,584.73,149.22,15.35,231.69
2026-07-28,AVGO,定制ASIC,383.22,USD,0.34,2.89,495.0,281.61,22.58,36.08
2026-07-28,MRVL,定制ASIC,189.17,USD,-2.61,-31.89,329.88,61.44,42.65,207.89
2026-07-28,TSM,代工,399.09,USD,-1.07,-12.31,479.0,223.7,16.68,78.4
2026-07-28,MU,存储,900.2,USD,-2.25,-21.4,1255.0,103.38,28.27,770.77
2026-07-28,ANET,网络,170.76,USD,-1.86,4.06,189.817,114.52,10.04,49.11
2026-07-28,CRDO,网络,208.14,USD,-2.35,-15.28,308.67,86.485,32.57,140.67
2026-07-28,COHR,光模块,271.31,USD,-3.92,-30.65,440.0,84.35,38.34,221.65
2026-07-28,LITE,光模块,711.96,USD,-6.69,-16.38,1085.68,101.61,34.42,600.68
2026-07-28,VRT,电源散热,287.6,USD,-0.95,-6.31,379.935,118.7,24.3,142.29
2026-07-28,SMCI,服务器,29.81,USD,-0.96,5.9,62.36,19.48,52.2,53.03
2026-07-28,DELL,服务器,426.91,USD,-2.42,2.97,469.47,110.22,9.07,287.33
2026-07-28,NVDA,算力芯片,196.51,USD,-4.99,0.79,236.54,164.07,16.92,19.77
2026-07-28,AMD,算力芯片,494.95,USD,-5.17,-8.26,584.73,149.22,15.35,231.69
2026-07-28,AVGO,定制ASIC,383.22,USD,0.34,2.89,495.0,281.61,22.58,36.08
2026-07-28,MRVL,定制ASIC,189.17,USD,-2.61,-31.89,329.88,61.44,42.65,207.89
2026-07-28,TSM,代工,399.09,USD,-1.07,-12.31,479.0,223.7,16.68,78.4
2026-07-28,MU,存储,900.2,USD,-2.25,-21.4,1255.0,103.38,28.27,770.77
2026-07-28,ANET,网络,170.76,USD,-1.86,4.06,189.817,114.52,10.04,49.11
2026-07-28,CRDO,网络,208.14,USD,-2.35,-15.28,308.67,86.485,32.57,140.67
2026-07-28,COHR,光模块,271.31,USD,-3.92,-30.65,440.0,84.35,38.34,221.65
2026-07-28,LITE,光模块,711.96,USD,-6.69,-16.38,1085.68,101.61,34.42,600.68
2026-07-28,VRT,电源散热,287.6,USD,-0.95,-6.31,379.935,118.7,24.3,142.29
2026-07-28,SMCI,服务器,29.81,USD,-0.96,5.9,62.36,19.48,52.2,53.03
2026-07-28,DELL,服务器,426.91,USD,-2.42,2.97,469.47,110.22,9.07,287.33
