run_date,week,author,tokens,share_pct,is_residual,is_us
2026-08-26,2025-09-01,x-ai,1161474950635,25.251,0,1
2026-08-26,2025-09-01,google,985823915168,21.432,0,1
2026-08-26,2025-09-01,anthropic,690840306425,15.019,0,1
2026-08-26,2025-09-01,deepseek,514142382910,11.178,0,0
2026-08-26,2025-09-01,openai,488302755135,10.616,0,1
2026-08-26,2025-09-01,qwen,294241499609,6.397,0,0
2026-08-26,2025-09-01,z-ai,93605449647,2.035,0,0
2026-08-26,2025-09-01,mistralai,90446157635,1.966,0,0
2026-08-26,2025-09-01,meta-llama,80730838340,1.755,0,1
2026-08-26,2025-09-01,others,200118008938,4.351,1,0
2026-08-26,2025-09-08,x-ai,1210461077372,24.716,0,1
2026-08-26,2025-09-08,google,887869049007,18.129,0,1
2026-08-26,2025-09-08,anthropic,709146775217,14.48,0,1
2026-08-26,2025-09-08,deepseek,608346216073,12.422,0,0
2026-08-26,2025-09-08,openai,571696619356,11.673,0,1
2026-08-26,2025-09-08,qwen,272694629712,5.568,0,0
2026-08-26,2025-09-08,openrouter,242451299947,4.951,0,0
2026-08-26,2025-09-08,z-ai,96387210327,1.968,0,0
2026-08-26,2025-09-08,meta-llama,91593960679,1.87,0,1
2026-08-26,2025-09-08,others,206826841095,4.223,1,0
2026-08-26,2025-09-15,x-ai,1349129180325,27.436,0,1
2026-08-26,2025-09-15,google,899202044168,18.286,0,1
2026-08-26,2025-09-15,anthropic,724230950428,14.728,0,1
2026-08-26,2025-09-15,deepseek,555966234704,11.306,0,0
2026-08-26,2025-09-15,openai,545509595059,11.094,0,1
2026-08-26,2025-09-15,openrouter,279874265666,5.692,0,0
2026-08-26,2025-09-15,qwen,208693242311,4.244,0,0
2026-08-26,2025-09-15,mistralai,86310232330,1.755,0,0
2026-08-26,2025-09-15,meta-llama,80074132156,1.628,0,1
2026-08-26,2025-09-15,others,188382896814,3.831,1,0
2026-08-26,2025-09-22,x-ai,2033604994695,38.677,0,1
2026-08-26,2025-09-22,google,907611160629,17.262,0,1
2026-08-26,2025-09-22,anthropic,704204334342,13.393,0,1
2026-08-26,2025-09-22,openai,595150016309,11.319,0,1
2026-08-26,2025-09-22,deepseek,506789795244,9.638,0,0
2026-08-26,2025-09-22,qwen,177485742643,3.376,0,0
2026-08-26,2025-09-22,meta-llama,85076458654,1.618,0,1
2026-08-26,2025-09-22,mistralai,75844751842,1.442,0,0
2026-08-26,2025-09-22,z-ai,67266857776,1.279,0,0
2026-08-26,2025-09-22,others,104945958678,1.996,1,0
2026-08-26,2025-09-29,x-ai,1821628063090,33.857,0,1
2026-08-26,2025-09-29,google,997234434030,18.535,0,1
2026-08-26,2025-09-29,anthropic,735561544678,13.671,0,1
2026-08-26,2025-09-29,openai,635638985650,11.814,0,1
2026-08-26,2025-09-29,deepseek,535177808020,9.947,0,0
2026-08-26,2025-09-29,qwen,184769110850,3.434,0,0
2026-08-26,2025-09-29,meta-llama,134734655576,2.504,0,1
2026-08-26,2025-09-29,z-ai,133380999569,2.479,0,0
2026-08-26,2025-09-29,mistralai,77810762375,1.446,0,0
2026-08-26,2025-09-29,others,124387295452,2.312,1,0
2026-08-26,2025-10-06,x-ai,1414624076034,28.181,0,1
2026-08-26,2025-10-06,google,934010271978,18.607,0,1
2026-08-26,2025-10-06,anthropic,847348500338,16.88,0,1
2026-08-26,2025-10-06,openai,650658011458,12.962,0,1
2026-08-26,2025-10-06,deepseek,386531493840,7.7,0,0
2026-08-26,2025-10-06,qwen,314623497881,6.268,0,0
2026-08-26,2025-10-06,z-ai,162984800208,3.247,0,0
2026-08-26,2025-10-06,mistralai,82956775683,1.653,0,0
2026-08-26,2025-10-06,tngtech,77044739266,1.535,0,0
2026-08-26,2025-10-06,others,148929105558,2.967,1,0
2026-08-26,2025-10-13,x-ai,1402689010113,30.201,0,1
2026-08-26,2025-10-13,google,876808626379,18.878,0,1
2026-08-26,2025-10-13,anthropic,804882323044,17.33,0,1
2026-08-26,2025-10-13,openai,524332286587,11.289,0,1
2026-08-26,2025-10-13,deepseek,333906637595,7.189,0,0
2026-08-26,2025-10-13,qwen,213502144982,4.597,0,0
2026-08-26,2025-10-13,z-ai,132786948665,2.859,0,0
2026-08-26,2025-10-13,tngtech,102181558016,2.2,0,0
2026-08-26,2025-10-13,mistralai,83880865190,1.806,0,0
2026-08-26,2025-10-13,others,169526997615,3.65,1,0
2026-08-26,2025-10-20,x-ai,1456567354467,29.809,0,1
2026-08-26,2025-10-20,google,927950719385,18.991,0,1
2026-08-26,2025-10-20,anthropic,860017833260,17.601,0,1
2026-08-26,2025-10-20,openai,518215376750,10.605,0,1
2026-08-26,2025-10-20,deepseek,319878251972,6.546,0,0
2026-08-26,2025-10-20,qwen,263552621095,5.394,0,0
2026-08-26,2025-10-20,z-ai,147379107654,3.016,0,0
2026-08-26,2025-10-20,tngtech,100831337768,2.064,0,0
